,porcentaje_h_mayor_90,max_mora,porcentaje_h_60_90,porcentaje_h_pago_a_tiempo,porcentaje_h_30_60,porcentaje_h_1_30,min_mora,antiguedad,mora_de_30_60,mora_de_60_90,mora_mayor_90,regional,unidad_negocio,condicion_pago,centro_operacion,mora_de_1_30,mora_de_30_60:0,mora_de_30_60:1,mora_de_60_90:0,mora_de_60_90:1,mora_mayor_90:0,mora_mayor_90:1,regional:DC,regional:DN,regional:DS,regional:OC,unidad_negocio:ADM,unidad_negocio:CIL,unidad_negocio:GRN,unidad_negocio:OTRO NEGOCIO,condicion_pago:08D,condicion_pago:15D,condicion_pago:30D,condicion_pago:60D,condicion_pago:CTD,condicion_pago:OTRA CONDICION,centro_operacion:BELLO,centro_operacion:BUCARAMANGA,centro_operacion:CARTAGENA,centro_operacion:CHIQUINQUIRA,centro_operacion:CUCUTA,centro_operacion:MANIZALES,centro_operacion:OFICINA CENTRAL,centro_operacion:OTRO CENTRO,centro_operacion:PITALITO,centro_operacion:SIBERIA,centro_operacion:VILLANUEVA,centro_operacion:YUMBO,mora_de_1_30:0,mora_de_1_30:1,centro_operacion:VILLANUEVA_YUMBO_BELLO,centro_operacion:CARTAGENA_BUCARAMANGA,unidad_negocio:ADM_CIL,condicion_pago:30D_CTD,condicion_pago:OTRO,min_mora_factor,max_mora_factor,porcentaje_h_60_90_factor,porcentaje_h_60_90: entre 0 y 20,porcentaje_h_60_90: entre 20 y 80,porcentaje_h_60_90: entre 80 y 100,porcentaje_h_mayor_90_factor,porcentaje_h_30_60_factor,porcentaje_h_30_60: entre 0 y 30,porcentaje_h_30_60: entre 30 y 70,porcentaje_h_30_60: entre 70 y 100,Antiguedad_factor,antiguedad: menor a 6 meses,antiguedad: entre 6 meses y 1 año,antiguedad: entre 1 y 3 años,antiguedad: entre 3 y 5 años,antiguedad: entre 5 y 6 años,antiguedad: entre 6 y 8 años,antiguedad: entre 8 y 10 años,antiguedad: entre 10 y 12 años,antiguedad: mayor a 12 años,porcentaje_h_pago_a_tiempo_factor,porcentaje_h_1_30_factor,porcentaje_h_1_30: entre 0 y 25,porcentaje_h_1_30: entre 25 y 50,porcentaje_h_1_30: entre 50 y 75,porcentaje_h_1_30: entre 75 y 100
2289,0.0,68.0,0.43,85.95,0.43,13.16,-1097.0,2256,0,0,0,DC,ADM_CIL,15D,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,2,Entre 0 y 25,1,0,0,0
3218,0.0,71.0,1.3,39.44,22.62,36.62,-52.0,900,0,0,0,DC,GRN,OTRO,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,2,Entre 25 y 50,0,1,0,0
2027,0.0,72.0,1.32,97.85,0.01,0.8,-40.0,19867,0,0,0,OC,ADM_CIL,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,mayor a 12 años,0,0,0,0,0,0,0,0,1,2,Entre 0 y 25,1,0,0,0
4081,14.28,114.0,14.28,0.0,71.42,0.0,46.0,1360,0,0,0,DC,ADM_CIL,30D o CTD,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,no negativo,200,0 a 20,1,0,0,"(10.0, 20.0]","(66.667, 100.0]",0,0,1,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 0 y 25,1,0,0,0
2378,32.66,172.0,6.53,6.52,16.33,37.94,-21.0,1586,0,0,1,DC,ADM_CIL,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,negativo,200,0 a 20,1,0,0,"(30.0, 40.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 25 y 50,0,1,0,0
3210,0.0,-12.0,0.0,100.0,0.0,0.0,-12.0,1284,0,0,0,DC,ADM_CIL,OTRO,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,2,Entre 0 y 25,1,0,0,0
1279,0.0,-2.0,0.0,100.0,0.0,0.0,-2.0,1905,0,0,0,DS,GRN,OTRO,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 5 y 6 años,0,0,0,0,1,0,0,0,0,2,Entre 0 y 25,1,0,0,0
3835,0.0,1.0,0.0,16.97,0.0,83.02,-39.0,3074,0,0,0,DC,ADM_CIL,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 8 y 10 años,0,0,0,0,0,0,1,0,0,1,Entre 75 y 100,0,0,0,1
4272,0.0,35.0,0.0,39.96,60.03,0.0,-20.0,1045,0,0,0,DC,GRN,OTRO,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(33.333, 66.667]",0,1,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,2,Entre 0 y 25,1,0,0,0
2228,11.4,152.0,3.31,0.0,32.7,52.57,10.0,743,1,0,0,DC,OTRO NEGOCIO,30D o CTD,SIBERIA,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,no negativo,200,0 a 20,1,0,0,"(10.0, 20.0]","(-0.1, 33.333]",0,1,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,1,Entre 50 y 75,0,0,1,0
484,43.48,408.0,4.99,0.0,15.6,35.91,2.0,3341,0,0,0,DC,GRN,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,no negativo,300,0 a 20,1,0,0,"(40.0, 50.0]","(-0.1, 33.333]",1,0,0,entre 8 y 10 años,0,0,0,0,0,0,1,0,0,1,Entre 25 y 50,0,1,0,0
2192,14.24,248.0,1.66,2.57,22.95,58.55,-2.0,1716,1,0,1,OC,OTRO NEGOCIO,30D o CTD,VILLANUEVA_YUMBO_BELLO,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,negativo,200,0 a 20,1,0,0,"(10.0, 20.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 50 y 75,0,0,1,0
5248,100.0,178.0,0.0,0.0,0.0,0.0,178.0,702,0,0,0,DC,ADM_CIL,30D o CTD,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,no negativo,200,0 a 20,1,0,0,"(90.0, 100.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,1,Entre 0 y 25,1,0,0,0
4984,0.0,87.0,3.24,6.71,3.36,86.67,-1.0,851,0,0,0,DS,ADM_CIL,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
820,0.0,12.0,0.0,91.45,0.0,8.54,-3.0,2207,0,0,0,DS,GRN,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,2,Entre 0 y 25,1,0,0,0
1482,0.0,1.0,0.0,0.0,0.0,100.0,1.0,1793,0,0,0,DS,GRN,OTRO,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
224,100.0,362.0,0.0,0.0,0.0,0.0,362.0,3227,0,0,0,DS,GRN,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,no negativo,300,0 a 20,1,0,0,"(90.0, 100.0]","(-0.1, 33.333]",1,0,0,entre 8 y 10 años,0,0,0,0,0,0,1,0,0,1,Entre 0 y 25,1,0,0,0
68,100.0,640.0,0.0,0.0,0.0,0.0,640.0,1093,0,0,0,DS,ADM_CIL,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,no negativo,300,0 a 20,1,0,0,"(90.0, 100.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 0 y 25,1,0,0,0
6329,0.0,20.0,0.0,0.0,0.0,100.0,7.0,240,0,0,0,DS,GRN,OTRO,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 meses y 1 año,0,1,0,0,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
2614,0.0,23.0,0.0,0.0,0.0,100.0,23.0,2684,0,0,0,DC,GRN,30D o CTD,CHIQUINQUIRA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 75 y 100,0,0,0,1
2041,0.0,24.0,0.0,0.0,0.0,100.0,5.0,2684,0,0,0,DC,ADM_CIL,30D o CTD,CHIQUINQUIRA,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 75 y 100,0,0,0,1
2036,0.0,14.0,0.0,0.0,0.0,100.0,4.0,23276,0,0,0,OC,ADM_CIL,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,mayor a 12 años,0,0,0,0,0,0,0,0,1,1,Entre 75 y 100,0,0,0,1
5854,0.0,3.0,0.0,0.0,0.0,100.0,3.0,252,0,0,0,DC,ADM_CIL,30D o CTD,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 meses y 1 año,0,1,0,0,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
312,78.37,524.0,0.0,0.0,0.0,21.62,2.0,2538,0,0,0,DS,ADM_CIL,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,no negativo,300,0 a 20,1,0,0,"(70.0, 80.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 0 y 25,1,0,0,0
4522,0.0,19.0,0.0,0.0,0.0,100.0,2.0,1089,0,0,0,DC,GRN,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
333,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2493,0,0,0,DS,ADM_CIL,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,2,Entre 0 y 25,1,0,0,0
7514,0.0,66.0,0.94,2.38,5.88,90.78,-4.0,2268,0,0,0,DC,GRN,30D o CTD,SIBERIA,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 75 y 100,0,0,0,1
3532,97.88,537.0,2.11,0.0,0.0,0.0,62.0,2684,0,0,0,DC,GRN,30D o CTD,CHIQUINQUIRA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,no negativo,300,0 a 20,1,0,0,"(90.0, 100.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 0 y 25,1,0,0,0
1609,0.0,17.0,0.0,100.0,0.0,0.0,0.0,1717,0,0,0,DC,ADM_CIL,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,2,Entre 0 y 25,1,0,0,0
158,0.0,58.0,0.0,47.53,1.79,50.67,-9.0,823,0,0,0,DS,ADM_CIL,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,2,Entre 50 y 75,0,0,1,0
2324,0.0,65.0,0.01,21.6,3.22,75.15,-9.0,2086,0,0,0,DC,GRN,08D,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 5 y 6 años,0,0,0,0,1,0,0,0,0,1,Entre 75 y 100,0,0,0,1
3230,0.0,79.0,8.4,8.49,22.28,60.8,-41.0,738,0,0,0,DS,GRN,OTRO,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,1,Entre 50 y 75,0,0,1,0
4439,0.0,8.0,0.0,0.0,0.0,100.0,2.0,4161,0,0,0,DN,ADM_CIL,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 10 y 12 años,0,0,0,0,0,0,0,1,0,1,Entre 75 y 100,0,0,0,1
4421,0.0,18.0,0.0,15.4,0.0,84.59,-5.0,1142,0,0,0,DN,GRN,OTRO,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
1445,0.0,14.0,0.0,39.33,0.0,60.66,-4.0,1813,0,0,0,DS,ADM_CIL,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 5 y 6 años,0,0,0,0,1,0,0,0,0,2,Entre 50 y 75,0,0,1,0
2883,0.0,15.0,0.0,24.29,0.0,75.7,-2.0,589,0,0,1,DC,ADM_CIL,30D o CTD,SIBERIA,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
5392,0.0,40.0,0.0,0.0,100.0,0.0,40.0,137,0,0,0,DC,GRN,30D o CTD,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(66.667, 100.0]",0,0,1,menor a 6 meses,1,0,0,0,0,0,0,0,0,1,Entre 0 y 25,1,0,0,0
4116,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1338,0,0,0,DC,ADM_CIL,30D o CTD,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,2,Entre 0 y 25,1,0,0,0
1813,0.0,33.0,0.0,73.52,1.15,25.31,-431.0,2354,0,0,0,DN,ADM_CIL,08D,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,2,Entre 25 y 50,0,1,0,0
3007,1.67,95.0,13.97,16.73,37.64,29.96,-121.0,2684,0,0,0,DC,GRN,30D o CTD,CHIQUINQUIRA,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(33.333, 66.667]",0,1,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 25 y 50,0,1,0,0
3287,5.94,100.0,33.05,0.0,48.56,12.43,12.0,2684,1,1,1,DC,GRN,30D o CTD,SIBERIA,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,no negativo,200,20 a 80,0,1,0,"(-0.1, 10.0]","(33.333, 66.667]",0,1,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 0 y 25,1,0,0,0
6928,0.0,-31.0,0.0,100.0,0.0,0.0,-31.0,4419,0,0,0,DN,ADM_CIL,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,mayor a 12 años,0,0,0,0,0,0,0,0,1,2,Entre 0 y 25,1,0,0,0
4196,0.0,59.0,0.0,95.53,0.01,4.45,-46.0,3739,0,0,0,DN,ADM_CIL,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 10 y 12 años,0,0,0,0,0,0,0,1,0,2,Entre 0 y 25,1,0,0,0
4482,0.0,60.0,0.0,28.37,71.62,0.0,0.0,4409,0,0,0,DS,ADM_CIL,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(66.667, 100.0]",0,0,1,mayor a 12 años,0,0,0,0,0,0,0,0,1,2,Entre 0 y 25,1,0,0,0
4206,100.0,951.0,0.0,0.0,0.0,0.0,132.0,1250,0,0,0,DS,GRN,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,no negativo,300,0 a 20,1,0,0,"(90.0, 100.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 0 y 25,1,0,0,0
6149,0.0,6.0,0.0,76.29,0.0,23.7,-1.0,338,0,0,0,DS,GRN,30D o CTD,MANIZALES,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 meses y 1 año,0,1,0,0,0,0,0,0,0,2,Entre 0 y 25,1,0,0,0
4110,14.28,126.0,0.0,0.0,71.42,14.28,15.0,1346,0,0,0,DC,GRN,30D o CTD,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,no negativo,200,0 a 20,1,0,0,"(10.0, 20.0]","(66.667, 100.0]",0,0,1,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 0 y 25,1,0,0,0
6388,0.0,19.0,0.0,25.66,0.0,74.33,-13.0,211,1,0,0,DC,GRN,30D o CTD,SIBERIA,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 meses y 1 año,0,1,0,0,0,0,0,0,0,2,Entre 50 y 75,0,0,1,0
2839,17.34,204.0,6.49,5.61,18.2,52.34,-9.0,1148,0,0,0,DC,GRN,30D o CTD,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,negativo,200,0 a 20,1,0,0,"(10.0, 20.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 50 y 75,0,0,1,0
638,0.0,1.0,0.0,0.0,0.0,100.0,1.0,2346,0,0,0,DS,ADM_CIL,08D,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 75 y 100,0,0,0,1
4650,0.0,86.0,4.71,44.59,0.0,50.69,-13.0,1017,0,0,1,DC,GRN,15D,SIBERIA,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,2,Entre 50 y 75,0,0,1,0
