,porcentaje_h_mayor_90,max_mora,porcentaje_h_60_90,porcentaje_h_pago_a_tiempo,porcentaje_h_30_60,porcentaje_h_1_30,min_mora,antiguedad,mora_de_30_60,mora_de_60_90,mora_mayor_90,regional,unidad_negocio,condicion_pago,centro_operacion,mora_de_1_30,mora_de_30_60:0,mora_de_30_60:1,mora_de_60_90:0,mora_de_60_90:1,mora_mayor_90:0,mora_mayor_90:1,regional:DC,regional:DN,regional:DS,regional:OC,unidad_negocio:ADM,unidad_negocio:CIL,unidad_negocio:GRN,unidad_negocio:OTRO NEGOCIO,condicion_pago:08D,condicion_pago:15D,condicion_pago:30D,condicion_pago:60D,condicion_pago:CTD,condicion_pago:OTRA CONDICION,centro_operacion:BELLO,centro_operacion:BUCARAMANGA,centro_operacion:CARTAGENA,centro_operacion:CHIQUINQUIRA,centro_operacion:CUCUTA,centro_operacion:MANIZALES,centro_operacion:OFICINA CENTRAL,centro_operacion:OTRO CENTRO,centro_operacion:PITALITO,centro_operacion:SIBERIA,centro_operacion:VILLANUEVA,centro_operacion:YUMBO,mora_de_1_30:0,mora_de_1_30:1,centro_operacion:VILLANUEVA_YUMBO_BELLO,centro_operacion:CARTAGENA_BUCARAMANGA,unidad_negocio:ADM_CIL,condicion_pago:30D_CTD,condicion_pago:OTRO,min_mora_factor,max_mora_factor,porcentaje_h_60_90_factor,porcentaje_h_60_90: entre 0 y 20,porcentaje_h_60_90: entre 20 y 80,porcentaje_h_60_90: entre 80 y 100,porcentaje_h_mayor_90_factor,porcentaje_h_30_60_factor,porcentaje_h_30_60: entre 0 y 30,porcentaje_h_30_60: entre 30 y 70,porcentaje_h_30_60: entre 70 y 100,Antiguedad_factor,antiguedad: menor a 6 meses,antiguedad: entre 6 meses y 1 año,antiguedad: entre 1 y 3 años,antiguedad: entre 3 y 5 años,antiguedad: entre 5 y 6 años,antiguedad: entre 6 y 8 años,antiguedad: entre 8 y 10 años,antiguedad: entre 10 y 12 años,antiguedad: mayor a 12 años,porcentaje_h_pago_a_tiempo_factor,porcentaje_h_1_30_factor,porcentaje_h_1_30: entre 0 y 25,porcentaje_h_1_30: entre 25 y 50,porcentaje_h_1_30: entre 50 y 75,porcentaje_h_1_30: entre 75 y 100
7081,0.0,30.0,0.0,52.97,0.0,47.02,-23.0,1771,0,0,0,OC,ADM_CIL,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,2,Entre 25 y 50,0,1,0,0
890,20.81,477.0,0.0,41.37,3.26,34.54,0.0,2151,0,0,0,DS,ADM_CIL,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,no negativo,300,0 a 20,1,0,0,"(20.0, 30.0]","(-0.1, 33.333]",1,0,0,entre 5 y 6 años,0,0,0,0,1,0,0,0,0,2,Entre 25 y 50,0,1,0,0
3734,0.0,8.0,0.0,5.58,0.0,94.41,0.0,949,0,0,0,DC,GRN,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
3135,0.0,45.0,0.0,0.0,100.0,0.0,45.0,2258,0,0,0,DC,GRN,OTRO,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(66.667, 100.0]",0,0,1,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 0 y 25,1,0,0,0
3005,52.82,122.0,0.0,0.0,47.17,0.0,48.0,2684,0,0,0,DC,GRN,30D o CTD,CHIQUINQUIRA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,no negativo,200,0 a 20,1,0,0,"(50.0, 60.0]","(33.333, 66.667]",0,1,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 0 y 25,1,0,0,0
3907,0.0,32.0,0.0,0.0,100.0,0.0,1.0,1508,0,0,0,DS,ADM_CIL,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(66.667, 100.0]",0,0,1,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 0 y 25,1,0,0,0
3465,8.29,200.0,7.33,48.42,6.24,29.7,-62.0,2684,0,0,0,DC,GRN,OTRO,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,negativo,200,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,2,Entre 25 y 50,0,1,0,0
7207,94.83,562.0,0.0,0.0,0.0,5.16,17.0,3086,0,0,0,DS,GRN,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,no negativo,300,0 a 20,1,0,0,"(90.0, 100.0]","(-0.1, 33.333]",1,0,0,entre 8 y 10 años,0,0,0,0,0,0,1,0,0,1,Entre 0 y 25,1,0,0,0
1819,1.02,440.0,1.34,1.94,0.12,95.56,0.0,1613,0,0,0,DS,GRN,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,no negativo,300,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
1779,0.0,9.0,0.0,0.0,0.0,100.0,9.0,1631,0,0,0,DS,ADM_CIL,30D o CTD,MANIZALES,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
7517,0.0,214.0,4.18,1.41,12.32,82.07,-24.0,2380,0,0,0,DS,GRN,30D o CTD,VILLANUEVA_YUMBO_BELLO,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,negativo,200,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,1,Entre 75 y 100,0,0,0,1
2209,42.0,276.0,20.81,0.08,29.49,7.6,-27.0,872,1,0,1,DN,OTRO NEGOCIO,30D o CTD,CUCUTA,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,negativo,200,20 a 80,0,1,0,"(40.0, 50.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,1,Entre 0 y 25,1,0,0,0
5225,0.0,38.0,0.0,100.0,0.0,0.0,1.0,716,0,0,0,DN,ADM_CIL,30D o CTD,CARTAGENA_BUCARAMANGA,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 1 y 3 años,0,0,1,0,0,0,0,0,0,2,Entre 0 y 25,1,0,0,0
6861,0.0,16.0,0.0,0.0,0.0,100.0,3.0,3773,0,0,0,DS,GRN,30D o CTD,MANIZALES,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 10 y 12 años,0,0,0,0,0,0,0,1,0,1,Entre 75 y 100,0,0,0,1
4433,16.96,108.0,0.0,42.88,0.0,40.14,-19.0,1135,0,0,0,DC,ADM_CIL,OTRO,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,negativo,200,0 a 20,1,0,0,"(10.0, 20.0]","(-0.1, 33.333]",1,0,0,entre 3 y 5 años,0,0,0,1,0,0,0,0,0,2,Entre 25 y 50,0,1,0,0
6437,0.0,20.0,0.0,19.01,0.0,80.98,0.0,185,0,0,0,DS,GRN,30D o CTD,VILLANUEVA_YUMBO_BELLO,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,no negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 meses y 1 año,0,1,0,0,0,0,0,0,0,1,Entre 75 y 100,0,0,0,1
2336,0.0,48.0,0.0,35.18,17.88,46.93,-14.0,2811,0,0,0,OC,ADM_CIL,08D,VILLANUEVA_YUMBO_BELLO,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,negativo,50,0 a 20,1,0,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,2,Entre 25 y 50,0,1,0,0
2775,0.0,76.0,26.46,64.13,3.86,5.53,-23.0,2684,0,0,0,DC,GRN,30D o CTD,SIBERIA,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,negativo,50,20 a 80,0,1,0,"(-0.1, 10.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,2,Entre 0 y 25,1,0,0,0
3671,40.52,782.0,7.12,45.37,6.97,0.0,-68.0,2310,0,0,0,DN,OTRO NEGOCIO,30D o CTD,CUCUTA,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,negativo,300,0 a 20,1,0,0,"(40.0, 50.0]","(-0.1, 33.333]",1,0,0,entre 6 y 8 años,0,0,0,0,0,1,0,0,0,2,Entre 0 y 25,1,0,0,0
