Country_origen;Year;Quantity;Import;Type;Valor_euro
Lithuania;2020;5906;Cyprus;Chocolates o bombones;31338
Luxembourg;2020;269;Cyprus;Chocolates o bombones;4975
Other;2020;1146;Cyprus;Chocolates o bombones;3576
Netherlands;2020;275876;Cyprus;Chocolates o bombones;712553
Poland;2020;8644;Cyprus;Chocolates o bombones;47876
United Kingdom;2020;89677;Cyprus;Chocolates o bombones;555460
Romania;2020;5300;Cyprus;Chocolates o bombones;24243
Other;2020;350;Cyprus;Chocolates o bombones;1069
Sweden;2020;1396;Cyprus;Chocolates o bombones;10599
Switzerland;2020;26;Cyprus;Chocolates o bombones;541
Germany;2020;125573;Cyprus;Otros productos con cacao;650563
Belgium;2020;5750;Cyprus;Otros productos con cacao;40283
Brazil;2020;9;Cyprus;Otros productos con cacao;427
Bulgaria;2020;2332;Cyprus;Otros productos con cacao;5863
Spain;2020;4446;Cyprus;Otros productos con cacao;56006
France;2020;2017;Cyprus;Otros productos con cacao;32793
Greece;2020;274127;Cyprus;Otros productos con cacao;1861823
Hungary;2020;991;Cyprus;Otros productos con cacao;1713
Ireland;2020;40;Cyprus;Otros productos con cacao;1380
Italy;2020;3021;Cyprus;Otros productos con cacao;11201
Lithuania;2020;807;Cyprus;Otros productos con cacao;4623
Macedonia;2020;2355;Cyprus;Otros productos con cacao;21991
Netherlands;2020;14566;Cyprus;Otros productos con cacao;73079
Poland;2020;21215;Cyprus;Otros productos con cacao;103585
United Kingdom;2020;30820;Cyprus;Otros productos con cacao;185152
Czech Republic;2020;715;Cyprus;Otros productos con cacao;6986
Romania;2020;837;Cyprus;Otros productos con cacao;5445
Russia;2020;3337;Cyprus;Otros productos con cacao;15245
Serbia;2020;42034;Cyprus;Otros productos con cacao;214197
Sweden;2020;1788;Cyprus;Otros productos con cacao;10825
Switzerland;2020;14915;Cyprus;Otros productos con cacao;212683
Germany;2020;135726;Cyprus;Chocolates o bombones;750122
Belgium;2020;12711;Cyprus;Chocolates o bombones;125405
Bulgaria;2020;1532;Cyprus;Chocolates o bombones;8785
Denmark;2020;94;Cyprus;Chocolates o bombones;887
Other;2020;1188;Cyprus;Chocolates o bombones;14231
Spain;2020;5802;Cyprus;Chocolates o bombones;70263
United States;2020;122;Cyprus;Chocolates o bombones;4996
France;2020;172;Cyprus;Chocolates o bombones;2871
Greece;2020;216446;Cyprus;Chocolates o bombones;1031963
Hungary;2020;348;Cyprus;Chocolates o bombones;594
Italy;2020;1867;Cyprus;Chocolates o bombones;19547
Lithuania;2020;3102;Cyprus;Chocolates o bombones;20149
Macedonia;2020;159;Cyprus;Chocolates o bombones;812
Netherlands;2020;54210;Cyprus;Chocolates o bombones;281700
Poland;2020;4834;Cyprus;Chocolates o bombones;24562
United Kingdom;2020;249494;Cyprus;Chocolates o bombones;1556683
Sweden;2020;4119;Cyprus;Chocolates o bombones;25962
Switzerland;2020;3368;Cyprus;Chocolates o bombones;43281
Vietnam;2020;30;Cyprus;Chocolates o bombones;1400
Germany;2020;4682;Cyprus;Otros productos con cacao;34873
Austria;2020;399;Cyprus;Otros productos con cacao;510
Bulgaria;2020;68;Cyprus;Otros productos con cacao;425
France;2020;5;Cyprus;Otros productos con cacao;124
Ireland;2020;2621;Cyprus;Otros productos con cacao;33828
Italy;2020;6;Cyprus;Otros productos con cacao;152
Poland;2020;1497;Cyprus;Otros productos con cacao;19118
United Kingdom;2020;3034;Cyprus;Otros productos con cacao;22403
Czech Republic;2020;8;Cyprus;Otros productos con cacao;212
Germany;2020;52425;Cyprus;Chocolates o bombones;305054
Austria;2020;51100;Cyprus;Chocolates o bombones;124155
Belgium;2020;9566;Cyprus;Chocolates o bombones;77895
Bulgaria;2020;581;Cyprus;Chocolates o bombones;2955
Denmark;2020;43;Cyprus;Chocolates o bombones;428
Spain;2020;919;Cyprus;Chocolates o bombones;5765
United States;2020;156;Cyprus;Chocolates o bombones;3610
France;2020;4816;Cyprus;Chocolates o bombones;59876
Greece;2020;142500;Cyprus;Chocolates o bombones;283891
Israel;2020;634;Cyprus;Chocolates o bombones;1937
Italy;2020;66701;Cyprus;Chocolates o bombones;877914
Other;2020;12109;Cyprus;Chocolates o bombones;76385
Lithuania;2020;320;Cyprus;Chocolates o bombones;2308
Luxembourg;2020;387;Cyprus;Chocolates o bombones;7157
Netherlands;2020;30839;Cyprus;Chocolates o bombones;241349
Poland;2020;1535;Cyprus;Chocolates o bombones;15071
United Kingdom;2020;25625;Cyprus;Chocolates o bombones;208608
Czech Republic;2020;1087;Cyprus;Chocolates o bombones;13966
South Africa;2020;1626;Cyprus;Chocolates o bombones;9547
Sweden;2020;1480;Cyprus;Chocolates o bombones;12677
Switzerland;2020;8166;Cyprus;Chocolates o bombones;116248
Germany;2020;15463;Cyprus;Chocolates o bombones;100918
Austria;2020;12043;Cyprus;Chocolates o bombones;38361
Belgium;2020;2994;Cyprus;Chocolates o bombones;27562
Bulgaria;2020;347;Cyprus;Chocolates o bombones;3780
Denmark;2020;1400;Cyprus;Chocolates o bombones;3794
Spain;2020;942;Cyprus;Chocolates o bombones;8829
Greece;2020;22177;Cyprus;Chocolates o bombones;160360
Italy;2020;41259;Cyprus;Chocolates o bombones;923326
Luxembourg;2020;19;Cyprus;Chocolates o bombones;365
Netherlands;2020;85356;Cyprus;Chocolates o bombones;440579
Poland;2020;391;Cyprus;Chocolates o bombones;4126
United Kingdom;2020;21468;Cyprus;Chocolates o bombones;213193
Sweden;2020;20;Cyprus;Chocolates o bombones;89
Germany;2020;37557;Cyprus;Chocolates o bombones;232685
Austria;2020;721;Cyprus;Chocolates o bombones;2892
Belgium;2020;21542;Cyprus;Chocolates o bombones;163344
Denmark;2020;212;Cyprus;Chocolates o bombones;1814
Other;2020;517;Cyprus;Chocolates o bombones;684
Spain;2020;4141;Cyprus;Chocolates o bombones;32938
France;2020;7328;Cyprus;Chocolates o bombones;79480
Greece;2020;25336;Cyprus;Chocolates o bombones;498889
Italy;2020;4165;Cyprus;Chocolates o bombones;20247
Latvia;2020;613;Cyprus;Chocolates o bombones;8754
Luxembourg;2020;135;Cyprus;Chocolates o bombones;2496
Netherlands;2020;13865;Cyprus;Chocolates o bombones;63989
Poland;2020;2742;Cyprus;Chocolates o bombones;19096
United Kingdom;2020;13159;Cyprus;Chocolates o bombones;55638
Sweden;2020;801;Cyprus;Chocolates o bombones;6544
Germany;2020;35896;Cyprus;Otros productos con cacao;148383
Belgium;2020;550;Cyprus;Otros productos con cacao;3633
Bulgaria;2020;1305;Cyprus;Otros productos con cacao;2235
Spain;2020;81;Cyprus;Otros productos con cacao;736
Greece;2020;56054;Cyprus;Otros productos con cacao;253949
Italy;2020;1654;Cyprus;Otros productos con cacao;9200
Netherlands;2020;111853;Cyprus;Otros productos con cacao;479432
Poland;2020;471;Cyprus;Otros productos con cacao;3203
United Kingdom;2020;5831;Cyprus;Otros productos con cacao;33497
South Africa;2020;356;Cyprus;Otros productos con cacao;3674
Switzerland;2020;108;Cyprus;Otros productos con cacao;5138
Germany;2020;58346;Cyprus;Otros productos con cacao;132684
Austria;2020;1376;Cyprus;Otros productos con cacao;680
Belgium;2020;6618;Cyprus;Otros productos con cacao;17095
Spain;2020;1;Cyprus;Otros productos con cacao;25
France;2020;631;Cyprus;Otros productos con cacao;2568
Greece;2020;102041;Cyprus;Otros productos con cacao;240583
India;2020;612;Cyprus;Otros productos con cacao;1417
Italy;2020;769031;Cyprus;Otros productos con cacao;3773995
Luxembourg;2020;30;Cyprus;Otros productos con cacao;560
Macedonia;2020;903;Cyprus;Otros productos con cacao;2487
Poland;2020;945;Cyprus;Otros productos con cacao;6909
United Kingdom;2020;1184;Cyprus;Otros productos con cacao;7397
Romania;2020;8842;Cyprus;Otros productos con cacao;14217
Germany;2020;3846;Cyprus;Otros productos con cacao;22239
Australia;2020;4628;Cyprus;Otros productos con cacao;17666
Spain;2020;4;Cyprus;Otros productos con cacao;61
Other;2020;91;Cyprus;Otros productos con cacao;14515
France;2020;3073;Cyprus;Otros productos con cacao;13801
Greece;2020;24733;Cyprus;Otros productos con cacao;138047
Italy;2020;101;Cyprus;Otros productos con cacao;490
Netherlands;2020;8666;Cyprus;Otros productos con cacao;50305
Poland;2020;353;Cyprus;Otros productos con cacao;1997
United Kingdom;2020;3942;Cyprus;Otros productos con cacao;75614
Czech Republic;2020;3;Cyprus;Otros productos con cacao;63
South Africa;2020;123;Cyprus;Otros productos con cacao;990
Germany;2020;81654;Cyprus;Otros productos con cacao;218676
Austria;2020;366;Cyprus;Otros productos con cacao;2513
Belgium;2020;2271;Cyprus;Otros productos con cacao;9930
Bulgaria;2020;13682;Cyprus;Otros productos con cacao;64365
Spain;2020;15444;Cyprus;Otros productos con cacao;55646
France;2020;131385;Cyprus;Otros productos con cacao;357237
Greece;2020;161920;Cyprus;Otros productos con cacao;507342
Israel;2020;50;Cyprus;Otros productos con cacao;157
Italy;2020;40636;Cyprus;Otros productos con cacao;152715
Other;2020;59;Cyprus;Otros productos con cacao;238
Netherlands;2020;24227;Cyprus;Otros productos con cacao;86912
Poland;2020;50594;Cyprus;Otros productos con cacao;123499
Portugal;2020;18378;Cyprus;Otros productos con cacao;97424
United Kingdom;2020;87453;Cyprus;Otros productos con cacao;378584
Czech Republic;2020;2;Cyprus;Otros productos con cacao;49
Romania;2020;5403;Cyprus;Otros productos con cacao;15707
Russia;2020;7;Cyprus;Otros productos con cacao;251
Other;2020;150;Cyprus;Otros productos con cacao;62
Sweden;2020;63;Cyprus;Otros productos con cacao;735
Ukraine;2020;330;Cyprus;Otros productos con cacao;378
Greece;2021;135;Cyprus;Cacao en grano;717
Peru;2021;12;Cyprus;Cacao en grano;49
South Africa;2021;4;Cyprus;Cacao en grano;117
Greece;2021;5;Cyprus;Cáscara, películas y demás desechos de cacao;55
Poland;2021;1;Cyprus;Cáscara, películas y demás desechos de cacao;13
Belgium;2021;80;Cyprus;Otros productos con cacao;517
Spain;2021;1000;Cyprus;Otros productos con cacao;4148
Greece;2021;1500;Cyprus;Otros productos con cacao;5414
Netherlands;2021;15108;Cyprus;Otros productos con cacao;59550
United Kingdom;2021;2;Cyprus;Otros productos con cacao;17
Germany;2021;80;Cyprus;Manteca, grasa y aceite de cacao;798
Belgium;2021;2568;Cyprus;Manteca, grasa y aceite de cacao;21067
United States;2021;9;Cyprus;Manteca, grasa y aceite de cacao;672
France;2021;1;Cyprus;Manteca, grasa y aceite de cacao;64
Italy;2021;11;Cyprus;Manteca, grasa y aceite de cacao;404
United Kingdom;2021;24;Cyprus;Manteca, grasa y aceite de cacao;325
Germany;2021;5722;Cyprus;Cacao en polvo;23211
Belgium;2021;5476;Cyprus;Cacao en polvo;36072
Bulgaria;2021;15;Cyprus;Cacao en polvo;179
China;2021;1000;Cyprus;Cacao en polvo;1796
Spain;2021;40603;Cyprus;Cacao en polvo;121012
Greece;2021;76455;Cyprus;Cacao en polvo;265137
Guatemala;2021;10;Cyprus;Cacao en polvo;112
Ireland;2021;145;Cyprus;Cacao en polvo;1975
Israel;2021;5;Cyprus;Cacao en polvo;80
Italy;2021;1260;Cyprus;Cacao en polvo;6265
Other;2021;358;Cyprus;Cacao en polvo;750
Netherlands;2021;49617;Cyprus;Cacao en polvo;207961
Poland;2021;4;Cyprus;Cacao en polvo;42
United Kingdom;2021;34695;Cyprus;Cacao en polvo;179201
Russia;2021;1;Cyprus;Cacao en polvo;2
Switzerland;2021;2;Cyprus;Cacao en polvo;68
Ukraine;2021;1;Cyprus;Cacao en polvo;3
Germany;2021;2;Cyprus;Otros productos con cacao;41
Bulgaria;2021;15391;Cyprus;Otros productos con cacao;109445
Greece;2021;27278;Cyprus;Otros productos con cacao;17510
United Kingdom;2021;1114;Cyprus;Otros productos con cacao;4879
Germany;2021;11560;Cyprus;Otros productos con cacao;24875
Bulgaria;2021;26398;Cyprus;Otros productos con cacao;193189
Other;2021;147;Cyprus;Otros productos con cacao;2302
Greece;2021;1089;Cyprus;Otros productos con cacao;5440
Israel;2021;4;Cyprus;Otros productos con cacao;51
Italy;2021;300;Cyprus;Otros productos con cacao;1394
Netherlands;2021;71;Cyprus;Otros productos con cacao;677
United Kingdom;2021;627;Cyprus;Otros productos con cacao;5087
Spain;2021;186;Cyprus;Otros productos con cacao;521
Greece;2021;31786;Cyprus;Otros productos con cacao;82739
Israel;2021;40;Cyprus;Otros productos con cacao;182
Other;2021;2;Cyprus;Otros productos con cacao;11
Poland;2021;8;Cyprus;Otros productos con cacao;34
United Kingdom;2021;24355;Cyprus;Otros productos con cacao;120790
Russia;2021;4;Cyprus;Otros productos con cacao;45
Switzerland;2021;1;Cyprus;Otros productos con cacao;10
Bulgaria;2021;1808;Cyprus;Otros productos con cacao;3186
Other;2021;21;Cyprus;Otros productos con cacao;1247
Greece;2021;2620;Cyprus;Otros productos con cacao;6574
Germany;2021;33562;Cyprus;Con contenido de Manteca de cacao;126797
Belgium;2021;94365;Cyprus;Con contenido de Manteca de cacao;387401
Bulgaria;2021;11937;Cyprus;Con contenido de Manteca de cacao;18806
Slovenia;2021;10064;Cyprus;Con contenido de Manteca de cacao;35324
Spain;2021;1000;Cyprus;Con contenido de Manteca de cacao;5463
France;2021;6221;Cyprus;Con contenido de Manteca de cacao;78266
Greece;2021;126702;Cyprus;Con contenido de Manteca de cacao;454762
Hungary;2021;16858;Cyprus;Con contenido de Manteca de cacao;65600
Italy;2021;29815;Cyprus;Con contenido de Manteca de cacao;89877
Latvia;2021;1000;Cyprus;Con contenido de Manteca de cacao;4752
Lithuania;2021;19025;Cyprus;Con contenido de Manteca de cacao;61272
Netherlands;2021;27229;Cyprus;Con contenido de Manteca de cacao;144798
Poland;2021;36067;Cyprus;Con contenido de Manteca de cacao;116871
Portugal;2021;6180;Cyprus;Con contenido de Manteca de cacao;3589
Czech Republic;2021;2403;Cyprus;Con contenido de Manteca de cacao;16079
Romania;2021;25170;Cyprus;Con contenido de Manteca de cacao;110389
Germany;2021;1;Cyprus;Con contenido de Manteca de cacao;42
Belgium;2021;31538;Cyprus;Con contenido de Manteca de cacao;232113
Bulgaria;2021;28536;Cyprus;Con contenido de Manteca de cacao;87830
Spain;2021;165;Cyprus;Con contenido de Manteca de cacao;1498
Greece;2021;77284;Cyprus;Con contenido de Manteca de cacao;279772
Italy;2021;4210;Cyprus;Con contenido de Manteca de cacao;6845
Poland;2021;16629;Cyprus;Con contenido de Manteca de cacao;48251
Germany;2021;1311;Cyprus;Con contenido de Manteca de cacao;3904
Italy;2021;5229;Cyprus;Con contenido de Manteca de cacao;16780
Bulgaria;2021;28;Cyprus;Otros productos con cacao;221
Romania;2021;200;Cyprus;Otros productos con cacao;1728
Belgium;2021;1023;Cyprus;Otros productos con cacao;2960
Canada;2021;3;Cyprus;Otros productos con cacao;36
United States;2021;29;Cyprus;Otros productos con cacao;498
France;2021;15;Cyprus;Otros productos con cacao;1035
Greece;2021;20909;Cyprus;Otros productos con cacao;544483
Israel;2021;22;Cyprus;Otros productos con cacao;415
Italy;2021;22170;Cyprus;Otros productos con cacao;43957
Japan;2021;1;Cyprus;Otros productos con cacao;27
Other;2021;2;Cyprus;Otros productos con cacao;4
Netherlands;2021;5209;Cyprus;Otros productos con cacao;57485
United Kingdom;2021;15338;Cyprus;Otros productos con cacao;35766
Russia;2021;12;Cyprus;Otros productos con cacao;118
Switzerland;2021;5;Cyprus;Otros productos con cacao;237
Germany;2021;10675;Cyprus;Otros productos con cacao;49246
Belgium;2021;5498;Cyprus;Otros productos con cacao;20536
Bulgaria;2021;188;Cyprus;Otros productos con cacao;963
Spain;2021;180;Cyprus;Otros productos con cacao;1175
France;2021;1450;Cyprus;Otros productos con cacao;19538
Greece;2021;20140;Cyprus;Otros productos con cacao;52663
Italy;2021;70225;Cyprus;Otros productos con cacao;217867
Poland;2021;400;Cyprus;Otros productos con cacao;5744
United Kingdom;2021;2521;Cyprus;Otros productos con cacao;23953
South Africa;2021;72;Cyprus;Otros productos con cacao;719
Germany;2021;93315;Cyprus;Chocolates o bombones;572942
Other;2021;1;Cyprus;Chocolates o bombones;2
Australia;2021;1;Cyprus;Chocolates o bombones;9
Austria;2021;2244;Cyprus;Chocolates o bombones;5117
Belgium;2021;4137;Cyprus;Chocolates o bombones;35704
Brazil;2021;7;Cyprus;Chocolates o bombones;364
Bulgaria;2021;15056;Cyprus;Chocolates o bombones;68793
Canada;2021;5;Cyprus;Chocolates o bombones;33
Denmark;2021;3;Cyprus;Chocolates o bombones;22
Other;2021;3690;Cyprus;Chocolates o bombones;40292
Spain;2021;9966;Cyprus;Chocolates o bombones;34163
United States;2021;4794;Cyprus;Chocolates o bombones;31583
France;2021;7;Cyprus;Chocolates o bombones;179
Greece;2021;144897;Cyprus;Chocolates o bombones;847695
Hungary;2021;2268;Cyprus;Chocolates o bombones;4792
Ireland;2021;11562;Cyprus;Chocolates o bombones;94587
Israel;2021;77;Cyprus;Chocolates o bombones;817
Italy;2021;75994;Cyprus;Chocolates o bombones;711236
Japan;2021;1;Cyprus;Chocolates o bombones;32
Latvia;2021;517;Cyprus;Chocolates o bombones;3038
Other;2021;129;Cyprus;Chocolates o bombones;2296
Lithuania;2021;16220;Cyprus;Chocolates o bombones;87260
Luxembourg;2021;7;Cyprus;Chocolates o bombones;152
Other;2021;4;Cyprus;Chocolates o bombones;46
Norway;2021;1;Cyprus;Chocolates o bombones;25
Netherlands;2021;225041;Cyprus;Chocolates o bombones;735022
Poland;2021;36706;Cyprus;Chocolates o bombones;171415
United Kingdom;2021;162364;Cyprus;Chocolates o bombones;1046448
Russia;2021;30;Cyprus;Chocolates o bombones;1071
Serbia;2021;2492;Cyprus;Chocolates o bombones;6062
Other;2021;2;Cyprus;Chocolates o bombones;91
Sweden;2021;1383;Cyprus;Chocolates o bombones;11620
Switzerland;2021;79;Cyprus;Chocolates o bombones;2551
Other;2021;8424;Cyprus;Chocolates o bombones;39048
Other;2021;3;Cyprus;Chocolates o bombones;24
Turkey;2021;5;Cyprus;Chocolates o bombones;53
Ukraine;2021;1;Cyprus;Chocolates o bombones;16
Germany;2021;145989;Cyprus;Otros productos con cacao;800705
Belgium;2021;374;Cyprus;Otros productos con cacao;6178
Bulgaria;2021;68;Cyprus;Otros productos con cacao;433
Other;2021;249;Cyprus;Otros productos con cacao;3312
Spain;2021;4583;Cyprus;Otros productos con cacao;77155
Greece;2021;267108;Cyprus;Otros productos con cacao;1776877
Hungary;2021;252;Cyprus;Otros productos con cacao;3704
Israel;2021;4;Cyprus;Otros productos con cacao;56
Lithuania;2021;4365;Cyprus;Otros productos con cacao;23660
Macedonia;2021;3190;Cyprus;Otros productos con cacao;34314
Netherlands;2021;2149;Cyprus;Otros productos con cacao;19117
Poland;2021;8825;Cyprus;Otros productos con cacao;52443
United Kingdom;2021;63593;Cyprus;Otros productos con cacao;481470
Czech Republic;2021;454;Cyprus;Otros productos con cacao;4627
Romania;2021;1735;Cyprus;Otros productos con cacao;6509
Russia;2021;27;Cyprus;Otros productos con cacao;1089
Serbia;2021;42188;Cyprus;Otros productos con cacao;242292
Other;2021;101;Cyprus;Otros productos con cacao;428
Sweden;2021;1912;Cyprus;Otros productos con cacao;14531
Switzerland;2021;32943;Cyprus;Otros productos con cacao;416729
Germany;2021;101173;Cyprus;Chocolates o bombones;467109
Belgium;2021;10376;Cyprus;Chocolates o bombones;128713
Bulgaria;2021;14726;Cyprus;Chocolates o bombones;54039
Croatia;2021;760;Cyprus;Chocolates o bombones;2881
Denmark;2021;22;Cyprus;Chocolates o bombones;394
Other;2021;3553;Cyprus;Chocolates o bombones;35519
Spain;2021;2917;Cyprus;Chocolates o bombones;35435
United States;2021;1970;Cyprus;Chocolates o bombones;12909
France;2021;4958;Cyprus;Chocolates o bombones;71449
Greece;2021;362695;Cyprus;Chocolates o bombones;1861504
Hungary;2021;236;Cyprus;Chocolates o bombones;857
Israel;2021;9;Cyprus;Chocolates o bombones;305
Italy;2021;882;Cyprus;Chocolates o bombones;5229
Other;2021;162;Cyprus;Chocolates o bombones;1918
Lithuania;2021;4814;Cyprus;Chocolates o bombones;31678
Netherlands;2021;61318;Cyprus;Chocolates o bombones;340664
Poland;2021;1392;Cyprus;Chocolates o bombones;20126
Portugal;2021;21560;Cyprus;Chocolates o bombones;94680
United Kingdom;2021;109540;Cyprus;Chocolates o bombones;753665
Czech Republic;2021;2545;Cyprus;Chocolates o bombones;39683
Russia;2021;2;Cyprus;Chocolates o bombones;110
Serbia;2021;33;Cyprus;Chocolates o bombones;1422
Sweden;2021;3580;Cyprus;Chocolates o bombones;23616
Switzerland;2021;2915;Cyprus;Chocolates o bombones;39078
Thailand;2021;2;Cyprus;Chocolates o bombones;113
Germany;2021;3525;Cyprus;Otros productos con cacao;24523
Austria;2021;273;Cyprus;Otros productos con cacao;1020
Bulgaria;2021;83;Cyprus;Otros productos con cacao;748
Spain;2021;150;Cyprus;Otros productos con cacao;1543
United States;2021;2;Cyprus;Otros productos con cacao;31
France;2021;41;Cyprus;Otros productos con cacao;840
Greece;2021;2561;Cyprus;Otros productos con cacao;11499
Italy;2021;16;Cyprus;Otros productos con cacao;215
Poland;2021;2116;Cyprus;Otros productos con cacao;25229
United Kingdom;2021;2096;Cyprus;Otros productos con cacao;19188
Czech Republic;2021;17;Cyprus;Otros productos con cacao;277
Germany;2021;48343;Cyprus;Chocolates o bombones;351087
Austria;2021;71789;Cyprus;Chocolates o bombones;162998
Belgium;2021;36238;Cyprus;Chocolates o bombones;338943
Bulgaria;2021;92;Cyprus;Chocolates o bombones;763
China;2021;2;Cyprus;Chocolates o bombones;17
Spain;2021;541;Cyprus;Chocolates o bombones;5280
United States;2021;33;Cyprus;Chocolates o bombones;909
Other;2021;40;Cyprus;Chocolates o bombones;125
France;2021;5254;Cyprus;Chocolates o bombones;81734
Greece;2021;38049;Cyprus;Chocolates o bombones;392684
Israel;2021;124;Cyprus;Chocolates o bombones;1511
Italy;2021;75795;Cyprus;Chocolates o bombones;991937
Japan;2021;1;Cyprus;Chocolates o bombones;22
Netherlands;2021;17810;Cyprus;Chocolates o bombones;120243
Poland;2021;621;Cyprus;Chocolates o bombones;5770
United Kingdom;2021;26849;Cyprus;Chocolates o bombones;244503
Czech Republic;2021;1617;Cyprus;Chocolates o bombones;18765
Russia;2021;132;Cyprus;Chocolates o bombones;2746
Serbia;2021;3;Cyprus;Chocolates o bombones;155
Other;2021;200;Cyprus;Chocolates o bombones;333
South Africa;2021;2050;Cyprus;Chocolates o bombones;17275
Sweden;2021;1849;Cyprus;Chocolates o bombones;17868
Switzerland;2021;7839;Cyprus;Chocolates o bombones;112636
Germany;2021;26618;Cyprus;Chocolates o bombones;248466
Austria;2021;14113;Cyprus;Chocolates o bombones;44486
Belgium;2021;767;Cyprus;Chocolates o bombones;6264
Bulgaria;2021;34;Cyprus;Chocolates o bombones;370
Denmark;2021;19;Cyprus;Chocolates o bombones;350
Spain;2021;1119;Cyprus;Chocolates o bombones;10552
United States;2021;68;Cyprus;Chocolates o bombones;955
France;2021;1745;Cyprus;Chocolates o bombones;8073
Greece;2021;26107;Cyprus;Chocolates o bombones;165611
India;2021;1;Cyprus;Chocolates o bombones;4
Israel;2021;7235;Cyprus;Chocolates o bombones;75622
Italy;2021;51885;Cyprus;Chocolates o bombones;1088308
Other;2021;540;Cyprus;Chocolates o bombones;1474
Netherlands;2021;134512;Cyprus;Chocolates o bombones;462517
Poland;2021;548;Cyprus;Chocolates o bombones;5446
United Kingdom;2021;50458;Cyprus;Chocolates o bombones;387863
Russia;2021;450;Cyprus;Chocolates o bombones;2512
Switzerland;2021;15;Cyprus;Chocolates o bombones;312
Turkey;2021;5;Cyprus;Chocolates o bombones;71
Germany;2021;53734;Cyprus;Chocolates o bombones;304494
Austria;2021;389;Cyprus;Chocolates o bombones;2038
Belgium;2021;34227;Cyprus;Chocolates o bombones;152484
Bulgaria;2021;19370;Cyprus;Chocolates o bombones;59670
Denmark;2021;145;Cyprus;Chocolates o bombones;1117
Spain;2021;3031;Cyprus;Chocolates o bombones;46043
France;2021;3996;Cyprus;Chocolates o bombones;59468
Greece;2021;48714;Cyprus;Chocolates o bombones;592572
Italy;2021;3719;Cyprus;Chocolates o bombones;25807
Luxembourg;2021;1214;Cyprus;Chocolates o bombones;11395
Netherlands;2021;1473;Cyprus;Chocolates o bombones;26996
Poland;2021;4293;Cyprus;Chocolates o bombones;36509
United Kingdom;2021;8309;Cyprus;Chocolates o bombones;90649
Romania;2021;25323;Cyprus;Chocolates o bombones;47460
Other;2021;511;Cyprus;Chocolates o bombones;1008
South Africa;2021;1;Cyprus;Chocolates o bombones;30
Sweden;2021;847;Cyprus;Chocolates o bombones;7144
Switzerland;2021;470;Cyprus;Chocolates o bombones;14604
Germany;2021;52653;Cyprus;Otros productos con cacao;227055
Belgium;2021;78;Cyprus;Otros productos con cacao;539
Bulgaria;2021;1872;Cyprus;Otros productos con cacao;4230
Denmark;2021;1045;Cyprus;Otros productos con cacao;6751
Spain;2021;186;Cyprus;Otros productos con cacao;1829
France;2021;2;Cyprus;Otros productos con cacao;66
Greece;2021;84091;Cyprus;Otros productos con cacao;299720
Israel;2021;32;Cyprus;Otros productos con cacao;430
Italy;2021;2748;Cyprus;Otros productos con cacao;12873
Netherlands;2021;111931;Cyprus;Otros productos con cacao;502063
Poland;2021;668;Cyprus;Otros productos con cacao;4540
United Kingdom;2021;19117;Cyprus;Otros productos con cacao;108444
Czech Republic;2021;1;Cyprus;Otros productos con cacao;6
South Africa;2021;261;Cyprus;Otros productos con cacao;2782
Switzerland;2021;103;Cyprus;Otros productos con cacao;4846
Germany;2021;69062;Cyprus;Otros productos con cacao;149136
Austria;2021;139;Cyprus;Otros productos con cacao;185
Belgium;2021;2205;Cyprus;Otros productos con cacao;6973
Bulgaria;2021;93;Cyprus;Otros productos con cacao;401
Spain;2021;5;Cyprus;Otros productos con cacao;49
France;2021;1199;Cyprus;Otros productos con cacao;6283
Greece;2021;93720;Cyprus;Otros productos con cacao;274234
India;2021;2044;Cyprus;Otros productos con cacao;4400
Israel;2021;4;Cyprus;Otros productos con cacao;37
Italy;2021;692769;Cyprus;Otros productos con cacao;3344532
Macedonia;2021;1881;Cyprus;Otros productos con cacao;5594
Netherlands;2021;2950;Cyprus;Otros productos con cacao;8585
Poland;2021;644;Cyprus;Otros productos con cacao;4181
United Kingdom;2021;9417;Cyprus;Otros productos con cacao;45605
Czech Republic;2021;1361;Cyprus;Otros productos con cacao;7633
Romania;2021;294;Cyprus;Otros productos con cacao;4492
Russia;2021;144;Cyprus;Otros productos con cacao;4965
Germany;2021;26419;Cyprus;Otros productos con cacao;121015
Australia;2021;14700;Cyprus;Otros productos con cacao;56484
Spain;2021;560;Cyprus;Otros productos con cacao;520
United States;2021;202;Cyprus;Otros productos con cacao;14998
Other;2021;39;Cyprus;Otros productos con cacao;3291
France;2021;2959;Cyprus;Otros productos con cacao;8687
Greece;2021;54778;Cyprus;Otros productos con cacao;291079
India;2021;60;Cyprus;Otros productos con cacao;321
Ireland;2021;484;Cyprus;Otros productos con cacao;6634
Italy;2021;1023;Cyprus;Otros productos con cacao;4638
Netherlands;2021;13472;Cyprus;Otros productos con cacao;122085
Poland;2021;323;Cyprus;Otros productos con cacao;4629
United Kingdom;2021;27030;Cyprus;Otros productos con cacao;131428
Czech Republic;2021;3;Cyprus;Otros productos con cacao;101
Russia;2021;1;Cyprus;Otros productos con cacao;23
Germany;2021;86332;Cyprus;Otros productos con cacao;265303
Austria;2021;484;Cyprus;Otros productos con cacao;3757
Belgium;2021;30212;Cyprus;Otros productos con cacao;80944
Bulgaria;2021;50396;Cyprus;Otros productos con cacao;147253
Canada;2021;5698;Cyprus;Otros productos con cacao;20165
China;2021;94;Cyprus;Otros productos con cacao;2244
