centro_operacion,regional,unidad_negocio,condicion_pago,cupo_credito,max_prestamo,min_prestamo,max_pago,total_prestamos,total_pagado,debe,promedio_prestamos,promedio_pagado,promedio_debe,dias_promedio_pago,dias_mora_promedio,max_mora,min_mora,antiguedad,corriente,de_1_30,de_30_60,de_60_90,mayor_90,saldo_final,con_saldos_a_favor,sin_saldos_a_favor,porcentaje_h_pago_a_tiempo,porcentaje_h_1_30,porcentaje_h_30_60,porcentaje_h_60_90,porcentaje_h_mayor_90,porcentaje_total_h,mora_de_1_30,mora_de_30_60,mora_de_60_90,mora_mayor_90
SIBERIA,DC,ADM,30D,"300000,00","291433,33","291433,33","290457,00","290457,00","290457,00","0,00","290457,00","290457,00","0,00",107,76,76,76,945,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","1000000,00","5300,00","1000000,00","4851008,00","4851008,00","0,00","173250,2857","173250,2857","0,00",5,13,37,-5,4088,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","55,99","41,61","2,38","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,GRN,05D,"400000,00","441640,00","441640,00","226023,75","226023,75","226023,75","0,00","226023,75","226023,75","0,00",35,30,30,30,1053,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
MANIZALES,DS,GRN,10D,"700000,00","1785720,58","251000,00","1379544,81","18784931,87","18784931,87","0,00","436858,8806","436858,8806","0,00",19,11,68,-2,1053,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,33","94,65","0,00","0,00","0,00","100,00",0,0,0,0
BARRANQUILLA,DN,CIL,CTD,"0,00","928945,76","909,30","928945,76","8432171,28","8445057,46","-12886,18","351340,47","351877,3941","-536,9241",51,51,350,0,1052,"0,00","0,00","0,00","-12886,18","0,00","-12886,18","-12886,18","0,00","1,82","40,94","30,73","5,85","20,64","100,00",0,0,0,0
YUMBO,DS,CIL,CTD,"1,00","18836774,00","498,00","12625122,51","805052765,49","805262613,49","-209848,00","1603690,7679","1604108,7918","-418,0239",3,-10,58,-46,3640,"0,00","-209444,00","-404,00","0,00","0,00","-209848,00","-209848,00","0,00","78,77","20,48","0,73","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,CIL,CTD,"229400,00","15908698,53","8331287,55","1325724,88","24239986,08","21588536,32","2651449,76","1009999,42","899522,3466","110477,0733",148,-30,5,-189,2354,"2651449,76","0,00","0,00","0,00","0,00","0,00","2651449,76","2651449,76","53,79","46,20","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","2000000,00","350000,00","2000000,00","5700000,00","3700000,00","2000000,00","518181,8181","336363,6363","181818,1818",16,16,54,0,1050,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","50,00","0,00","50,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"0,00","300000,00","12000,00","300000,00","900000,00","900000,00","0,00","100000,00","100000,00","0,00",38,79,269,0,1050,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","68,86","0,00","0,00","0,00","31,13","100,00",0,0,0,0
SIBERIA,DC,ADM,CTD,"0,00","834800,00","97033,00","600000,00","7134800,00","7135733,00","-933,00","324309,0909","324351,50","-42,409",27,26,172,-3,1050,"0,00","0,00","0,00","0,00","-933,00","-933,00","-933,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
