centro_operacion,regional,unidad_negocio,condicion_pago,cupo_credito,max_prestamo,min_prestamo,max_pago,total_prestamos,total_pagado,debe,promedio_prestamos,promedio_pagado,promedio_debe,dias_promedio_pago,dias_mora_promedio,max_mora,min_mora,antiguedad,corriente,de_1_30,de_30_60,de_60_90,mayor_90,saldo_final,con_saldos_a_favor,sin_saldos_a_favor,porcentaje_h_pago_a_tiempo,porcentaje_h_1_30,porcentaje_h_30_60,porcentaje_h_60_90,porcentaje_h_mayor_90,porcentaje_total_h,mora_de_1_30,mora_de_30_60,mora_de_60_90,mora_mayor_90
BUCARAMANGA,DN,CIL,08D,"4000000,00","17716522,91","500,00","10306826,00","3966420065,19","3962964760,93","3455304,26","2813063,876","2810613,3056","2450,5703",7,2,80,-9,4409,"9101568,00","-5646263,74","0,00","0,00","0,00","-5646263,74","3455304,26","9101568,00","73,43","26,51","0,00","0,05","0,00","100,00",0,0,0,0
BUCARAMANGA,DN,CIL,08D,"4000000,00","10845178,00","142000,00","8631468,00","73609978,00","73609978,00","0,00","2103142,2285","2103142,2285","0,00",5,1,6,-3,2703,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","29,73","70,26","0,00","0,00","0,00","100,00",0,0,0,0
BUCARAMANGA,DN,ADM,15D,"240000,00","22000000,00","3089879,49","815375,00","61870906,71","59244901,71","2626005,00","429659,0743","411422,9285","18236,1458",452,-2,25,-130,2356,"2626005,00","0,00","0,00","0,00","0,00","0,00","2626005,00","2626005,00","64,99","35,00","0,00","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,05D,"900000,00","977816,42","5500,00","877829,60","39882329,40","39280746,00","601583,40","291111,8934","286720,7737","4391,1197",5,9,56,-6,2667,"0,00","601583,40","0,00","0,00","0,00","601583,40","601583,40","601583,40","14,24","84,27","1,47","0,00","0,00","100,00",1,0,0,0
NULL,NULL,ADM,CTD,"0,00","1100000,00","187,20","1100000,00","43623705,88","43518505,88","105200,00","38066,0609","37974,2634","91,7975",6,6,76,0,2269,"0,00","55000,00","50200,00","0,00","0,00","105200,00","105200,00","105200,00","49,03","49,72","1,21","0,01","0,00","100,00",1,1,0,0
PUERTO SALGAR,DC,CIL,CTD,"1,00","8547036,00","1200,00","6904772,00","563552667,16","563562823,43","-10156,27","893110,4075","893126,503","-16,0955",5,3,280,-43,3440,"0,00","-10080,00","0,00","-76,00","-0,27","-10156,27","-10156,27","0,00","63,30","32,59","1,31","0,01","2,76","100,00",0,0,0,0
PUERTO SALGAR,DC,CIL,08D,"2752640,00","5948366,40","50000,00","4821600,00","29049430,00","29049430,00","0,00","1936628,6666","1936628,6666","0,00",20,15,56,-7,609,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","15,34","51,65","32,99","0,00","0,00","100,00",0,0,0,0
PUERTO SALGAR,DC,ADM,15D,"229400,00","5217458,69","1900000,00","1900000,00","15077918,87","15077918,87","0,00","456906,6324","456906,6324","0,00",158,-2,4,-57,2356,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","47,54","52,45","0,00","0,00","0,00","100,00",0,0,0,0
VILLANUEVA,DC,CIL,08D,"3000000,00","9189918,00","116248,00","7599241,00","199386296,80","199386296,80","0,00","2121130,817","2121130,817","0,00",9,4,123,-6,2572,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","55,21","40,84","1,50","0,00","2,42","100,00",0,0,0,0
NULL,NULL,ADM,CTD,"0,00","870983,12","10000,00","865112,76","1155850,72","1155850,72","0,00","165121,5314","165121,5314","0,00",141,141,564,10,2298,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","14,69","7,91","0,00","76,53","100,00",0,0,0,0
PUERTO SALGAR,DC,GRN,CTD,"1,00","2600000,00","8000,00","2600000,00","12171021,60","12344811,41","-173789,81","608551,08","617240,5705","-8689,4905",58,58,367,0,2703,"0,00","0,00","0,00","0,00","-173789,81","-173789,81","-173789,81","0,00","16,02","48,69","25,09","0,00","10,18","100,00",0,0,0,0
PUERTO SALGAR,DC,GRN,CTD,"0,00","1280545,00","23139,00","1280545,00","1303684,00","1303684,00","0,00","651842,00","651842,00","0,00",81,81,160,2,3552,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","98,22","0,00","0,00","1,77","100,00",0,0,0,0
SIBERIA,DC,GRN,CTD,"0,00","32000,00","8000,00","32000,00","529000,00","529000,00","0,00","12595,238","12595,238","0,00",0,0,0,0,2684,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
NULL,NULL,ADM,CTD,"0,00","1444000,00","5300,00","1444000,00","31334122,85","31206122,85","128000,00","310238,84","308971,5133","1267,3267",22,15,399,-31,2207,"0,00","0,00","128000,00","0,00","0,00","128000,00","128000,00","128000,00","46,84","35,86","15,03","1,86","0,37","100,00",0,1,0,0
PUERTO SALGAR,DC,CIL,CTD,"1,00","3560470,00","6000,00","2983920,00","83115854,64","83338545,73","-222691,09","615672,9973","617322,5609","-1649,5636",10,7,306,-9,4409,"0,00","0,00","0,00","0,00","-222691,09","-222691,09","-222691,09","0,00","51,35","48,32","0,19","0,00","0,12","100,00",0,0,0,0
BELLO,DS,CIL,CTD,"0,00","3500712,00","13817,00","3430697,76","46151151,68","46151151,68","0,00","1775044,2953","1775044,2953","0,00",102,95,1301,-7,3539,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","86,46","0,02","0,00","0,00","13,50","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"0,00","1951646,50","444,50","954000,00","2162863,00","2166157,00","-3294,00","270357,875","270769,625","-411,75",110,110,419,0,3094,"0,00","0,00","0,00","0,00","-3294,00","-3294,00","-3294,00","0,00","44,49","0,00","0,02","7,62","47,85","100,00",0,0,0,0
NULL,NULL,ADM,CTD,"0,00","1200000,00","1200,00","1200000,00","12999803,35","12999803,35","0,00","259996,067","259996,067","0,00",6,4,122,-30,2243,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","38,19","59,81","1,98","0,00","0,00","100,00",0,0,0,0
BUENAVENTURA,DS,CIL,08D,"3000000,00","3402582,00","200,00","2863555,00","939041425,72","937073494,18","1967931,54","739402,6974","737853,145","1549,5523",6,0,46,-38,3481,"2050456,00","-82524,46","0,00","0,00","0,00","-82524,46","1967931,54","2050456,00","79,60","19,86","0,52","0,00","0,00","100,00",0,0,0,0
BELLO,DS,CIL,CTD,"1,00","616344,00","21960,00","610180,56","3985454,88","3985454,88","0,00","398545,488","398545,488","0,00",5,-38,-26,-45,2523,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
BELLO,DS,CIL,CTD,"1,00","2915429,22","57420,00","1752525,72","16490603,36","16490603,36","0,00","687108,4733","687108,4733","0,00",1,-1,1,-3,2703,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","85,68","14,31","0,00","0,00","0,00","100,00",0,0,0,0
BELLO,DS,CIL,08D,"8500000,00","14949090,54","67399,00","8597782,61","647488372,20","647488372,20","0,00","2621410,4137","2621410,4137","0,00",13,7,907,-8,4401,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","32,15","66,33","0,83","0,00","0,67","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"1,00","1546,25","1042,00","1546,25","8190,95","8190,95","0,00","1365,1583","1365,1583","0,00",632,632,686,552,3860,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","100,00",0,0,0,0
CAUCASIA,DN,CIL,CTD,"0,00","6310960,00","52880,00","6310960,00","26177776,00","26177776,00","0,00","2379797,8181","2379797,8181","0,00",205,205,555,67,2591,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","14,20","85,79","100,00",0,0,0,0
GUARNE,DS,CIL,CTD,"0,00","1577740,00","1577740,00","1577740,00","1577740,00","1577740,00","0,00","1577740,00","1577740,00","0,00",50,50,50,50,2006,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","100,00",0,0,0,0
BUCARAMANGA,DN,GRN,30D,"2200000,00","1245995,56","262310,40","937438,82","54815161,16","52145426,57","2669734,59","453017,8608","430953,9385","22063,9222",55,25,72,-13,2660,"1071526,80","733972,49","864235,30","0,00","0,00","1598207,79","2669734,59","2669734,59","6,64","48,55","41,40","3,38","0,00","100,00",1,1,0,0
NULL,NULL,ADM,CTD,"0,00","2953798,00","59050,00","2450000,00","23298871,00","23298871,00","0,00","517752,6888","517752,6888","0,00",7,0,43,-46,2327,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","9,75","90,24","0,00","0,00","0,00","100,00",0,0,0,0
MANIZALES,DS,GRN,30D,"40500000,00","19372332,79","2900,00","15406351,78","573245736,18","564978704,92","8267031,26","3275689,921","3228449,7424","47240,1786",38,8,48,-27,2520,"8172434,78","155184,66","0,00","-825,24","-59762,94","94596,48","8267031,26","8327619,44","3,09","95,06","1,84","0,00","0,00","100,00",1,0,0,0
BELLO,DS,GRN,CTD,"0,00","1687954,40","1687954,40","1687954,40","1687954,40","1687954,40","0,00","1687954,40","1687954,40","0,00",1,1,1,1,212,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
BELLO,DS,GRN,60D,"165000000,00","13897831,20","50610,00","6477557,26","141206441,68","76773261,18","64433180,50","1384376,8792","752679,0311","631697,848",69,8,23,-61,212,"46330858,15","18102322,35","0,00","0,00","0,00","18102322,35","64433180,50","64433180,50","2,99","97,00","0,00","0,00","0,00","100,00",1,0,0,0
YUMBO,DS,GRN,CTD,"1,00","12729664,20","388,09","6992400,08","194842851,06","194842851,06","0,00","2997582,324","2997582,324","0,00",26,12,103,-14,3180,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","10,58","87,43","0,26","0,00","1,71","100,00",0,0,0,0
YUMBO,DS,ADM,CTD,"1,00","3467294,81","3467294,81","3455679,08","3455679,08","3455679,08","0,00","3455679,08","3455679,08","0,00",1,0,0,0,639,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
NULL,NULL,CIL,CTD,"1,00","10190780,00","416,00","10037918,30","136759001,06","137243621,06","-484620,00","768308,9947","771031,5789","-2722,5842",17,-24,710,-47,2481,"0,00","0,00","0,00","0,00","-484620,00","-484620,00","-484620,00","0,00","95,48","3,70","0,00","0,00","0,80","100,00",0,0,0,0
FUSAGASUGA VD,DC,CIL,CTD,"1,00","6311040,00","4000,00","4998758,00","601334105,69","598818574,09","2515531,60","1638512,5495","1631658,24","6854,3095",24,2,149,-6,2080,"2515531,60","0,00","0,00","0,00","0,00","0,00","2515531,60","2515531,60","57,30","42,53","0,04","0,12","0,00","100,00",0,0,0,0
FUSAGASUGA VD,DC,CIL,CTD,"7,00","6362216,26","2250,00","4187860,00","32385863,56","32491271,26","-105407,70","1044705,2761","1048105,5245","-3400,2483",91,8,31,-6,752,"0,00","-24670,00","-2250,00","0,00","-78487,70","-105407,70","-105407,70","0,00","24,03","72,49","3,47","0,00","0,00","100,00",0,0,0,0
FUSAGASUGA VD,DC,CIL,08D,"3000000,00","7254388,00","956012,00","4952675,00","42941262,70","39938214,70","3003048,00","2525956,6294","2349306,747","176649,8823",45,38,202,0,752,"0,00","3003048,00","0,00","0,00","0,00","3003048,00","3003048,00","3003048,00","1,05","88,01","0,00","0,00","10,92","100,00",1,0,0,0
BELLO,DS,GRN,30D,"14200000,00","21648480,00","66264,00","14594160,00","188059953,89","191991713,89","-3931760,00","4274089,8611","4363448,0429","-89358,1818",17,11,119,-31,2367,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","88,55","11,20","0,23","0,00","0,00","100,00",0,0,0,0
BELLO,DS,GRN,30D,"33900000,00","19411158,70","126102,40","19263393,32","975726566,99","913570248,00","62156318,99","4854361,0298","4545125,6119","309235,4178",25,-4,50,-31,2367,"28593873,30","33562445,69","0,00","0,00","0,00","33562445,69","62156318,99","62156318,99","67,29","25,49","7,20","0,00","0,00","100,00",1,0,0,0
JAMUNDI,DS,CIL,CTD,"0,00","349360,00","99900,00","173360,00","2496714,60","2496714,60","0,00","118891,1714","118891,1714","0,00",15,4,66,-23,3333,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","79,89","10,56","5,28","4,25","0,00","100,00",0,0,0,0
NULL,NULL,CIL,CTD,"0,00","30000,00","20000,00","30000,00","50000,00","50000,00","0,00","25000,00","25000,00","0,00",0,10,21,0,2369,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"1,00","18124667,37","581056,80","10657468,58","206131551,20","206131551,20","0,00","3435525,8533","3435525,8533","0,00",66,6,63,-23,3833,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","9,70","89,57","0,46","0,25","0,00","100,00",0,0,0,0
NULL,NULL,ADM,CTD,"0,00","480000,00","55300,00","480000,00","1667300,00","1667300,00","0,00","333460,00","333460,00","0,00",4,-3,15,-46,2208,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"0,00","1262526,10","8878,00","1107876,00","4357153,30","4357153,30","0,00","311225,2357","311225,2357","0,00",31,29,302,-30,3740,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","63,29","35,32","1,17","0,00","0,20","100,00",0,0,0,0
MANIZALES,DS,GRN,15D,"0,00","188082,00","7450,00","148878,00","1945402,00","1945402,00","0,00","88427,3636","88427,3636","0,00",23,11,62,-16,2520,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8,41","91,58","0,00","0,00","0,00","100,00",0,0,0,0
MANIZALES,DS,GRN,CTD,"0,00","5008,00","3124,00","5008,00","8132,00","8132,00","0,00","4066,00","4066,00","0,00",345,326,366,286,2520,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","100,00",0,0,0,0
BELLO,DS,GRN,CTD,"0,00","126439,00","51300,00","126439,00","263786,00","263786,00","0,00","87928,6666","87928,6666","0,00",202,202,293,132,2520,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","100,00",0,0,0,0
BELLO,DS,MED,08D,"2700000,00","2526996,42","4698,00","2525248,44","62226975,27","62226975,27","0,00","1944592,9771","1944592,9771","0,00",38,33,292,0,2523,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","6,39","64,80","13,32","13,44","2,03","100,00",0,0,0,0
MANIZALES,DS,GRN,CTD,"0,00","80000,00","61499,64","80000,00","141499,64","141499,64","0,00","70749,82","70749,82","0,00",0,8,12,4,241,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"0,00","1002775,15","2013,00","500000,00","1686818,00","1690248,20","-3430,20","240974,00","241464,0285","-490,0285",193,193,632,0,3481,"0,00","0,00","0,00","0,00","-3430,20","-3430,20","-3430,20","0,00","13,39","52,77","0,00","0,00","33,83","100,00",0,0,0,0
BELLO,DS,GRN,CTD,"1,00","1086322,23","43441,15","486695,31","13898338,13","13898338,13","0,00","173729,2266","173729,2266","0,00",42,11,128,-30,2523,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","13,58","81,20","1,83","1,55","1,82","100,00",0,0,0,0
BELLO,DS,CIL,CTD,"0,00","24777225,00","2564450,00","12103725,00","56847736,70","56847736,70","0,00","9474622,7833","9474622,7833","0,00",6,17,36,1,2591,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","50,00","50,00","0,00","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,30D,"0,00","5946917,57","727708,80","3735044,42","54330066,52","54330066,52","0,00","2173202,6608","2173202,6608","0,00",41,10,41,-26,3902,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","12,85","77,80","9,33","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,60D,"47300000,00","29784558,33","823963,50","17339007,97","387802011,02","371996219,82","15805791,20","5540028,7288","5314231,7117","225797,0171",69,9,62,-11,3537,"15805791,20","0,00","0,00","0,00","0,00","0,00","15805791,20","15805791,20","11,64","87,69","0,26","0,38","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"0,00","277745,98","16881,70","134592,00","374561,70","374561,70","0,00","93640,425","93640,425","0,00",228,228,548,0,2904,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","23,62","35,93","0,00","0,00","40,44","100,00",0,0,0,0
FUSAGASUGA VD,DC,CIL,15D,"1700000,00","44000,25","44000,25","44000,00","44000,00","44000,00","0,00","44000,00","44000,00","0,00",0,17,17,17,4409,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"1,00","13896057,70","51135,00","7046941,06","480866116,11","480866116,11","0,00","2599276,3032","2599276,3032","0,00",60,30,451,-31,2527,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","36,42","49,68","5,78","3,98","4,11","100,00",0,0,0,0
SINCELEJO,DN,CIL,30D,"1670000,00","3199563,00","2621066,00","2166338,00","12764068,00","12764068,00","0,00","1823438,2857","1823438,2857","0,00",62,32,217,-25,5376,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","26,72","56,30","0,00","0,00","16,97","100,00",0,0,0,0
CARTAGENA,DN,ADM,CTD,"0,00","1500000,00","16000,00","1500000,00","23558256,00","23558256,00","0,00","604057,8461","604057,8461","0,00",12,0,85,-365,1904,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","31,84","68,15","0,00","0,00","0,00","100,00",0,0,0,0
CARTAGENA,DN,ADM,CTD,"0,00","900000,00","600000,00","900000,00","6400000,00","6400000,00","0,00","711111,1111","711111,1111","0,00",15,15,74,0,2082,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,ADM,CTD,"0,00","1818625,00","8000,00","1600000,00","24196551,01","22826317,01","1370234,00","549921,6138","518779,932","31141,6818",17,14,91,-1,2082,"0,00","-383985,00","2199195,00","0,00","0,00","1815210,00","1815210,00","2199195,00","45,96","28,10","17,74","8,19","0,00","100,00",0,1,0,0
SINCELEJO,DN,CIL,CTD,"0,00","1113600,00","1113600,00","1113600,00","1113600,00","1113600,00","0,00","1113600,00","1113600,00","0,00",0,0,0,0,3087,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,30D,"6000000,00","3211324,02","63870,98","2996480,02","89813245,22","89813245,22","0,00","641523,1801","641523,1801","0,00",33,3,39,-21,2367,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","39,81","58,03","2,15","0,00","0,00","100,00",0,0,0,0
SANTA ROSA DE OSOS,DS,CIL,CTD,"0,00","65000,00","8000,00","65000,00","509000,00","509000,00","0,00","26789,4736","26789,4736","0,00",0,8,29,0,2703,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
CAUCASIA,DN,CIL,CTD,"0,00","186000,00","5000,00","186000,00","24382000,00","24382000,00","0,00","28417,2494","28417,2494","0,00",0,0,34,0,4154,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","1773100,00","8000,00","1163100,00","90309155,02","89728710,04","580444,98","414262,1789","411599,5873","2662,5916",19,18,514,-14,3182,"0,00","600000,00","4840,00","0,00","-24395,02","580444,98","580444,98","604840,00","18,73","68,39","9,86","2,28","0,72","100,00",1,1,0,0
BELLO,DS,CIL,CTD,"0,00","165000,00","400,00","165000,00","165400,00","165400,00","0,00","82700,00","82700,00","0,00",321,321,640,2,2005,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","99,75","0,00","0,00","0,24","100,00",0,0,0,0
GUARNE,DS,CIL,CTD,"0,00","2187979,00","68688,00","2187979,00","2452967,00","2452967,00","0,00","817655,6666","817655,6666","0,00",44,44,133,0,1999,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","89,19","8,00","0,00","0,00","2,80","100,00",0,0,0,0
GUARNE,DS,CIL,CTD,"1,00","390782,00","390782,00","390782,00","390782,00","390782,00","0,00","390782,00","390782,00","0,00",91,91,91,91,1243,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","100,00",0,0,0,0
BELLO,DS,CIL,CTD,"0,00","2400,00","2400,00","2400,00","2400,00","2400,00","0,00","2400,00","2400,00","0,00",640,640,640,640,1093,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","100,00",0,0,0,0
BELLO,DS,CIL,CTD,"0,00","28000,00","28000,00","28000,00","28000,00","28000,00","0,00","28000,00","28000,00","0,00",2,2,2,2,970,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
BELLO,DS,CIL,CTD,"2,00","16810056,59","62,00","15746060,00","1514243730,61","1514245116,35","-1385,74","3235563,5269","3235566,4879","-2,9609",7,3,294,-21,3146,"0,00","-1324,00","0,00","0,00","-61,74","-1385,74","-1385,74","0,00","69,73","28,49","0,44","0,34","0,96","100,00",0,0,0,0
BELLO,DS,ADM,CTD,"1,00","45200000,00","2096825,00","5722222,20","122604596,57","53937692,77","68666903,80","677373,4617","297998,3025","379375,1591",271,2,38,-2,2009,"68666903,80","0,00","0,00","0,00","0,00","0,00","68666903,80","68666903,80","32,41","66,93","0,64","0,00","0,00","100,00",0,0,0,0
BELLO,DS,CIL,15D,"3500000,00","3466500,00","1054650,00","2109300,00","12922695,00","12922695,00","0,00","1435855,00","1435855,00","0,00",84,70,537,8,4409,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","85,24","0,00","0,00","14,75","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","2000000,00","6000,00","2000000,00","52869290,00","52869290,00","0,00","997533,7735","997533,7735","0,00",9,12,55,-6,3116,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","46,40","40,44","13,14","0,00","0,00","100,00",0,0,0,0
GUARNE,DS,ADM,08D,"0,00","4027550,00","10000,00","3668679,00","143379930,58","143379930,58","0,00","1558477,5063","1558477,5063","0,00",34,23,379,-5,2719,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","96,30","1,79","0,08","0,00","1,80","100,00",0,0,0,0
GUARNE,DS,CIL,CTD,"0,00","349624,00","20700,00","349624,00","447335,00","512227,00","-64892,00","74555,8333","85371,1666","-10815,3333",3,3,4,1,1046,"0,00","0,00","0,00","0,00","-64892,00","-64892,00","-64892,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","1453000,00","0,01","1399886,00","9370869,32","9370869,32","0,00","253266,7383","253266,7383","0,00",11,10,103,-5,3290,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44,55","54,88","0,50","0,05","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","46000,00","10000,00","46000,00","120000,00","120000,00","0,00","30000,00","30000,00","0,00",0,2,5,0,2992,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
APARTADO,DS,CIL,08D,"8000000,00","20321550,00","13314,00","11285224,00","537330028,20","537330028,20","0,00","1968241,8615","1968241,8615","0,00",25,19,1038,-26,3581,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","68,84","27,28","1,85","0,00","2,01","100,00",0,0,0,0
CARTAGENA,DN,CIL,CTD,"1,00","135000,00","13000,00","135000,00","269000,00","269000,00","0,00","38428,5714","38428,5714","0,00",0,1,13,0,2703,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","455200,00","60000,00","528400,00","5100999,94","5100999,94","0,00","364357,1385","364357,1385","0,00",13,14,27,6,3054,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,17","98,82","0,00","0,00","0,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","300000,00","7000,00","300000,00","1111000,00","811440,00","299560,00","92583,3333","67620,00","24963,3333",0,3,8,0,3024,"0,00","300000,00","-440,00","0,00","0,00","299560,00","299560,00","300000,00","75,33","24,66","0,00","0,00","0,00","100,00",1,0,0,0
OFICINA CENTRAL,OC,ADM,CTD,"1,00","1500000,00","5000,00","1500000,00","75926833,69","75926833,69","0,00","460162,6284","460162,6284","0,00",4,4,64,-5,2992,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","93,61","6,28","0,10","0,00","0,00","100,00",0,0,0,0
BARRANQUILLA,DN,CIL,CTD,"0,00","829000,00","8000,00","829000,00","1382000,00","1382000,00","0,00","345500,00","345500,00","0,00",5,5,15,1,3193,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
CAUCASIA,DN,CIL,CTD,"0,00","1495800,00","9736,00","1480842,00","23303331,53","23303331,53","0,00","541937,9425","541937,9425","0,00",10,4,148,-42,4861,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","30,27","63,80","2,20","0,00","3,71","100,00",0,0,0,0
SINCELEJO,DN,CIL,CTD,"1,00","808000,00","808000,00","556800,00","556800,00","556800,00","0,00","556800,00","556800,00","0,00",0,-30,-30,-30,4336,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
SINCELEJO,DN,CIL,CTD,"1,00","3868605,00","7000,00","2642220,00","204542438,66","204542438,66","0,00","1162172,9469","1162172,9469","0,00",36,9,326,-42,3523,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","90,16","4,60","0,27","0,00","4,96","100,00",0,0,0,0
SANTA ROSA DE CABAL,DS,CIL,05D,"3000000,00","22758934,00","18984,00","16183350,00","2611018155,80","2611079465,14","-61309,34","1706547,8142","1706587,8857","-40,0714",5,1,51,-6,4105,"0,00","-61309,34","0,00","0,00","0,00","-61309,34","-61309,34","0,00","54,39","45,48","0,12","0,00","0,00","100,00",0,0,0,0
SANTA ROSA DE CABAL,DS,CIL,08D,"3000000,00","5119100,00","60950,00","3935970,00","69304008,68","69304008,68","0,00","1980114,5337","1980114,5337","0,00",9,1,27,-5,4105,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","52,97","47,02","0,00","0,00","0,00","100,00",0,0,0,0
MANIZALES,DS,CIL,CTD,"1,00","24454515,00","578,00","12154640,00","3072514097,02","3072514097,02","0,00","3788550,0579","3788550,0579","0,00",5,1,63,-30,4409,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","49,60","50,34","0,02","0,02","0,00","100,00",0,0,0,0
